ID,F_p,638 Red(Peak)
948,17,17
949,33,33
950,46,46
951,28,28
952,17,17
953,0,0
954,38,38
955,45,45
956,41,41
957,21,21
958,32,32
959,0,0
960,20,20
961,4,4
962,53,53
963,43,43
964,25,25
965,31,31
966,38,38
967,35,35
968,15,15
969,4,4
970,15,15
971,17,17
972,36,36
973,39,39
974,16,16
975,41,41
976,15,15
977,6,6
978,31,31
979,1,1
980,51,51
981,0,0
982,14,14
983,37,37
984,6,6
985,29,29
986,35,35
987,46,46
988,90,90
989,19,19
990,27,27
991,25,25
992,23,23
993,45,45
994,0,0
995,65,65
996,60,60
997,23,23
998,45,45
999,35,35
1000,35,35
1001,52,52
1002,59,59
1003,59,59
1004,46,46
1005,56,56
1006,27,27
1007,134,134
1008,17,17
1009,47,47
1010,0,0
1011,18,18
1012,18,18
1013,39,39
1014,3,3
1015,15,15
1016,39,39
1017,18,18
1018,117,117
1019,0,0
1020,10,10
1021,4,4
1022,0,0
1023,35,35
1024,9,9
1025,24,24
1026,32,32
1027,27,27
1028,55,55
1029,18,18
1030,11,11
1031,16,16
1032,32,32
1033,34,34
1034,6,6
1035,30,30
1036,9,9
1037,19,19
1038,35,35
1039,14,14
1040,0,0
1041,32,32
1042,35,35
1043,76,76
1044,131,131
1045,1,1
1046,33,33
1047,35,35
1048,47,47
1049,28,28
1050,2,2
1051,43,43
1052,118,118
1053,62,62
1054,26,26
1055,60,60
1056,23,23
1057,47,47
1058,48,48
1059,61,61
1060,20,20
1061,4,4
1062,17,17
1063,29,29
1064,41,41
1065,5,5
1066,9,9
1067,43,43
1068,39,39
1069,27,27
1070,16,16
1071,12,12
1072,54,54
1073,0,0
1074,24,24
1075,112,112
1076,45,45
1077,13,13
1078,5,5
1079,16,16
1080,12,12
1081,94,94
1082,15,15
1083,69,69
1084,20,20
1085,8,8
1086,12,12
1087,23,23
1088,12,12
1089,6,6
1090,6,6
1091,18,18
1092,74,74
1093,14,14
1094,45,45
1095,65,65
1096,27,27
1097,45,45
1098,36,36
1099,20,20
1100,103,103
1101,8,8
1102,27,27
1103,19,19
1104,17,17
1105,82,82
1106,4,4
1107,9,9
1108,1,1
1109,27,27
1110,38,38
1111,42,42
1112,28,28
1113,19,19
1114,3,3
1115,20,20
1116,77,77
1117,38,38
1118,33,33
1119,14,14
1120,20,20
1121,44,44
1122,85,85
1123,77,77
1124,38,38
1125,20,20
1126,20,20
1127,35,35
1128,33,33
1129,0,0
1130,10,10
1131,15,15
1132,37,37
1133,71,71
1134,44,44
1135,65,65
1136,34,34
1137,26,26
1138,50,50
1139,6,6
1140,30,30
1141,15,15
1142,14,14
1143,9,9
1144,84,84
1145,44,44
1146,70,70
1147,39,39
1148,35,35
1149,76,76
1150,12,12
1151,14,14
1152,33,33
1153,0,0
1154,13,13
1155,8,8
1156,34,34
1157,53,53
1158,18,18
1159,34,34
1160,9,9
1161,50,50
1162,61,61
1163,7,7
1164,24,24
1165,17,17
1166,6,6
1167,17,17
1168,84,84
1169,39,39
1170,27,27
1171,12,12
1172,33,33
1173,17,17
1174,19,19
1175,11,11
1176,10,10
1177,41,41
1178,17,17
1179,44,44
1180,27,27
1181,0,0
1182,4,4
1183,9,9
1184,0,0
1185,41,41
1186,32,32
1187,23,23
1188,10,10
1189,66,66
1190,8,8
1191,46,46
1192,7,7
1193,11,11
1194,0,0
1195,100,100
1196,15,15
1197,51,51
1198,12,12
1199,66,66
1200,0,0
1201,24,24
1202,20,20
1203,49,49
1204,46,46
1205,42,42
1206,35,35
1207,0,0
1208,16,16
1209,30,30
1210,0,0
1211,30,30
1212,54,54
1213,0,0
1214,44,44
1215,18,18
1216,45,45
1217,17,17
1218,14,14
1219,14,14
1220,88,88
1221,60,60
1222,21,21
1223,60,60
1224,47,47
1225,5,5
1226,22,22
1227,52,52
1228,13,13
1229,0,0
1230,10,10
1231,21,21
1232,20,20
1233,18,18
1234,72,72
1235,18,18
1236,16,16
1237,62,62
1238,13,13
1239,31,31
1240,30,30
1241,19,19
1242,30,30
1243,22,22
1244,49,49
1245,45,45
1246,22,22
1247,16,16
1248,8,8
1249,49,49
1250,28,28
1251,0,0
1252,23,23
1253,22,22
1254,21,21
1255,7,7
1256,14,14
1257,41,41
1258,50,50
1259,68,68
1260,48,48
1261,12,12
1262,57,57
1263,35,35
1264,0,0
1265,64,64
1266,44,44
1267,46,46
1268,46,46
1269,45,45
1270,69,69
1271,29,29
1272,24,24
1273,15,15
1274,6,6
1275,6,6
1276,28,28
1277,5,5
1278,43,43
1279,43,43
1280,57,57
1281,2,2
1282,70,70
1283,0,0
1284,15,15
1285,35,35
1286,17,17
1287,44,44
1288,29,29
1289,31,31
1290,24,24
1291,15,15
1292,45,45
1293,11,11
1294,27,27
1295,8,8
1296,0,0
1297,20,20
1298,31,31
1299,12,12
1300,26,26
1301,0,0
1302,14,14
1303,16,16
1304,28,28
1305,6,6
1306,48,48
1307,38,38
1308,0,0
1309,12,12
1310,0,0
1311,24,24
1312,69,69
1313,26,26
1314,28,28
1315,23,23
1316,6,6
1317,14,14
1318,68,68
1319,35,35
1320,2,2
1321,23,23
1322,18,18
1323,11,11
1324,112,112
1325,18,18
1326,47,47
1327,35,35
1328,65,65
1329,61,61
1330,9,9
1331,4,4
1332,88,88
1333,12,12
1334,0,0
1335,47,47
1336,73,73
1337,49,49
1338,25,25
1339,49,49
1340,113,113
1341,26,26
1342,39,39
1343,65,65
1344,25,25
1345,24,24
1346,9,9
1347,25,25
1348,0,0
1349,14,14
1350,236,236
1351,2,2
1352,29,29
1353,0,0
1354,44,44
1355,42,42
1356,2,2
1357,18,18
1358,6,6
1359,12,12
1360,106,106
1361,39,39
1362,23,23
1363,61,61
1364,32,32
1365,26,26
1366,58,58
1367,30,30
1368,34,34
1369,35,35
1370,21,21
1371,77,77
1372,12,12
1373,47,47
1374,27,27
1375,92,92
1376,81,81
1377,15,15
1378,48,48
1379,60,60
1380,46,46
1381,31,31
1382,42,42
1383,30,30
1384,32,32
1385,13,13
1386,2,2
1387,12,12
1388,36,36
1389,23,23
1390,33,33
1391,56,56
1392,38,38
1393,12,12
1394,27,27
1395,36,36
1396,14,14
1397,50,50
1398,8,8
1399,26,26
1400,11,11
1401,27,27
1402,40,40
1403,55,55
1404,32,32
1405,60,60
1406,29,29
1407,72,72
1408,37,37
1409,0,0
1410,17,17
1411,50,50
1412,4,4
1413,83,83
1414,28,28
1415,25,25
1416,23,23
1417,25,25
1418,42,42
1419,58,58
1420,36,36
1421,94,94
1422,7,7
1423,8,8
1424,44,44
1425,48,48
1426,29,29
1427,14,14
1428,77,77
1429,6,6
1430,18,18
1431,9,9
1432,36,36
1433,15,15
1434,25,25
1435,44,44
1436,33,33
1437,43,43
1438,33,33
1439,2,2
1440,63,63
1441,81,81
1442,17,17
1443,26,26
1444,10,10
1445,17,17
1446,25,25
1447,12,12
1448,29,29
1449,4,4
1450,11,11
1451,64,64
1452,0,0
1453,41,41
1454,29,29
1455,0,0
1456,9,9
1457,84,84
1458,140,140
1459,46,46
1460,17,17
1461,0,0
1462,23,23
1463,0,0
1464,58,58
1465,35,35
1466,63,63
1467,25,25
1468,37,37
1469,38,38
1470,9,9
1471,30,30
1472,64,64
1473,14,14
1474,42,42
1475,19,19
1476,97,97
1477,61,61
1478,0,0
1479,31,31
1480,8,8
1481,25,25
1482,12,12
1483,42,42
1484,66,66
1485,4,4
1486,34,34
1487,0,0
1488,57,57
1489,11,11
1490,41,41
1491,16,16
1492,82,82
1493,47,47
1494,38,38
1495,38,38
1496,20,20
1497,11,11
1498,17,17
1499,5,5
1500,45,45
1501,31,31
1502,5,5
1503,28,28
1504,91,91
1505,0,0
1506,0,0
1507,35,35
1508,0,0
1509,21,21
1510,16,16
1511,18,18
1512,2,2
1513,29,29
1514,19,19
1515,19,19
1516,13,13
1517,31,31
1518,45,45
1519,126,126
1520,53,53
1521,18,18
1522,0,0
1523,45,45
1524,24,24
1525,44,44
1526,81,81
1527,20,20
1528,56,56
1529,39,39
1530,25,25
1531,0,0
1532,27,27
1533,26,26
1534,35,35
1535,89,89
1536,25,25
1537,38,38
1538,34,34
1539,30,30
1540,0,0
1541,4,4
1542,30,30
1543,37,37
1544,23,23
1545,30,30
1546,29,29
1547,48,48
1548,28,28
1549,30,30
1550,30,30
1551,28,28
1552,20,20
1553,67,67
1554,11,11
1555,0,0
1556,33,33
1557,10,10
1558,13,13
1559,1,1
1560,26,26
1561,47,47
1562,55,55
1563,98,98
1564,15,15
1565,140,140
1566,4,4
1567,46,46
1568,50,50
1569,2,2
1570,69,69
1571,5,5
1572,23,23
1573,33,33
1574,42,42
1575,22,22
1576,28,28
1577,28,28
1578,0,0
1579,23,23
1580,15,15
1581,24,24
1582,10,10
1583,21,21
1584,9,9
1585,17,17
1586,51,51
1587,52,52
1588,32,32
1589,0,0
1590,14,14
1591,46,46
1592,16,16
1593,4,4
1594,32,32
1595,3,3
1596,14,14
1597,30,30
1598,3,3
1599,33,33
1600,17,17
1601,4,4
1602,41,41
1603,50,50
1604,78,78
1605,17,17
1606,22,22
1607,22,22
1608,41,41
1609,13,13
1610,54,54
1611,65,65
1612,0,0
1613,88,88
1614,46,46
1615,37,37
1616,7,7
1617,38,38
1618,0,0
1619,14,14
1620,58,58
1621,46,46
1622,48,48
1623,21,21
1624,30,30
1625,34,34
1626,19,19
1627,29,29
1628,1,1
1629,32,32
1630,12,12
1631,9,9
1632,24,24
1633,3,3
1634,75,75
1635,25,25
1636,16,16
1637,7,7
1638,58,58
1639,0,0
1640,20,20
1641,16,16
1642,59,59
1643,12,12
1644,0,0
1645,14,14
1646,151,151
1647,111,111
1648,16,16
1649,33,33
1650,69,69
1651,40,40
1652,0,0
1653,13,13
1654,22,22
1655,12,12
1656,31,31
1657,15,15
1658,28,28
1659,32,32
1660,62,62
1661,10,10
1662,13,13
1663,1,1
1664,68,68
1665,96,96
1666,20,20
1667,1,1
1668,18,18
1669,0,0
1670,85,85
1671,47,47
1672,30,30
1673,3,3
1674,28,28
1675,20,20
1676,16,16
1677,73,73
1678,6,6
1679,38,38
1680,58,58
1681,15,15
1682,4,4
1683,77,77
1684,9,9
1685,3,3
1686,7,7
1687,10,10
1688,31,31
1689,77,77
1690,29,29
1691,53,53
1692,3,3
1693,57,57
1694,34,34
1695,34,34
1696,15,15
1697,9,9
1698,48,48
1699,22,22
1700,28,28
1701,10,10
1702,32,32
1703,27,27
1704,109,109
1705,41,41
1706,18,18
1707,6,6
1708,53,53
1709,31,31
1710,45,45
1711,0,0
1712,6,6
1713,20,20
1714,28,28
1715,37,37
1716,22,22
1717,42,42
1718,96,96
1719,18,18
1720,45,45
1721,25,25
1722,68,68
1723,29,29
1724,19,19
1725,12,12
1726,39,39
1727,0,0
1728,8,8
1729,20,20
1730,3,3
1731,0,0
1732,51,51
1733,102,102
1734,0,0
1735,24,24
1736,60,60
1737,11,11
1738,0,0
1739,12,12
1740,30,30
1741,67,67
1742,43,43
1743,50,50
1744,0,0
1745,6,6
1746,16,16
1747,49,49
1748,43,43
1749,33,33
1750,8,8
1751,29,29
1752,24,24
1753,34,34
1754,58,58
1755,0,0
1756,27,27
1757,21,21
1758,0,0
1759,9,9
1760,38,38
1761,0,0
1762,4,4
1763,37,37
1764,7,7
1765,0,0
1766,32,32
1767,0,0
1768,0,0
1769,34,34
1770,57,57
1771,17,17
1772,56,56
1773,15,15
1774,12,12
1775,33,33
1776,1,1
1777,32,32
1778,4,4
1779,16,16
1780,15,15
1781,23,23
1782,33,33
1783,16,16
1784,34,34
1785,9,9
1786,59,59
1787,61,61
1788,55,55
1789,8,8
1790,14,14
1791,36,36
1792,31,31
1793,10,10
1794,11,11
1795,2,2
1796,11,11
1797,15,15
1798,24,24
1799,7,7
1800,39,39
1801,8,8
1802,101,101
1803,13,13
1804,12,12
1805,31,31
1806,15,15
1807,14,14
1808,0,0
1809,43,43
1810,7,7
1811,65,65
1812,16,16
1813,15,15
1814,49,49
1815,0,0
1816,16,16
1817,34,34
1818,32,32
1819,23,23
1820,1,1
1821,30,30
1822,18,18
1823,27,27
1824,32,32
1825,0,0
1826,68,68
1827,112,112
1828,40,40
1829,45,45
1830,11,11
1831,31,31
1832,34,34
1833,6,6
1834,23,23
1835,0,0
1836,34,34
1837,15,15
1838,6,6
1839,19,19
1840,31,31
1841,20,20
1842,31,31
1843,22,22
1844,23,23
1845,18,18
1846,26,26
1847,10,10
1848,8,8
1849,18,18
1850,54,54
1851,55,55
1852,8,8
1853,15,15
1854,28,28
1855,20,20
1856,56,56
1857,30,30
1858,3,3
1859,7,7
1860,59,59
1861,49,49
1862,60,60
1863,19,19
1864,0,0
1865,15,15
1866,38,38
1867,0,0
1868,17,17
1869,18,18
1870,49,49
1871,17,17
1872,37,37
1873,83,83
1874,0,0
1875,9,9
1876,0,0
1877,45,45
1878,12,12
1879,19,19
1880,47,47
1881,39,39
1882,72,72
1883,19,19
1884,36,36
1885,34,34
1886,24,24
1887,75,75
1888,32,32
1889,31,31
1890,15,15
1891,39,39
1892,95,95
1893,8,8
1894,107,107
1895,45,45
1896,20,20
1897,19,19
1898,12,12
1899,0,0
1900,12,12
1901,10,10
1902,70,70
1903,7,7
1904,33,33
1905,23,23
1906,33,33
1907,48,48
1908,56,56
1909,0,0
1910,81,81
1911,0,0
1912,0,0
1913,28,28
1914,4,4
1915,1,1
1916,34,34
1917,57,57
1918,9,9
1919,14,14
1920,42,42
1921,165,165
1922,16,16
1923,32,32
1924,7,7
1925,8,8
1926,20,20
1927,2,2
1928,31,31
1929,14,14
1930,13,13
1931,30,30
1932,38,38
1933,27,27
1934,0,0
1935,46,46
1936,31,31
1937,3,3
1938,12,12
1939,22,22
1940,12,12
1941,37,37
1942,46,46
1943,21,21
1944,72,72
1945,12,12
1946,42,42
1947,20,20
1948,17,17
1949,0,0
1950,43,43
1951,13,13
1952,27,27
1953,23,23
1954,9,9
1955,95,95
1956,59,59
1957,0,0
1958,7,7
1959,19,19
1960,0,0
1961,61,61
1962,20,20
1963,17,17
1964,12,12
1965,37,37
1966,16,16
1967,111,111
1968,79,79
1969,30,30
1970,74,74
1971,2,2
1972,14,14
1973,42,42
1974,29,29
1975,145,145
1976,10,10
1977,23,23
1978,16,16
1979,18,18
1980,10,10
1981,21,21
1982,12,12
1983,21,21
1984,3,3
1985,8,8
1986,41,41
1987,0,0
1988,23,23
1989,43,43
1990,24,24
1991,29,29
1992,25,25
1993,23,23
1994,16,16
1995,26,26
1996,10,10
1997,6,6
1998,2,2
1999,0,0
2000,32,32
2001,2,2
2002,0,0
2003,38,38
2004,20,20
2005,26,26
2006,71,71
2007,55,55
2008,30,30
2009,101,101
2010,63,63
2011,30,30
2012,16,16
2013,37,37
2014,45,45
2015,24,24
2016,89,89
2017,73,73
2018,73,73
2019,23,23
2020,9,9
2021,79,79
2022,8,8
2023,8,8
2024,29,29
2025,27,27
2026,86,86
2027,32,32
2028,51,51
2029,28,28
2030,36,36
2031,16,16
2032,52,52
2033,20,20
2034,32,32
2035,12,12
2036,15,15
2037,58,58
2038,9,9
2039,51,51
2040,33,33
2041,54,54
2042,27,27
2043,20,20
2044,22,22
2045,0,0
2046,15,15
2047,18,18
2048,77,77
2049,20,20
2050,52,52
2051,23,23
2052,21,21
2053,18,18
2054,49,49
2055,3,3
2056,59,59
2057,2,2
2058,7,7
2059,15,15
2060,19,19
2061,18,18
2062,14,14
2063,21,21
2064,46,46
2065,5,5
2066,0,0
2067,15,15
2068,64,64
2069,10,10
2070,33,33
2071,24,24
2072,29,29
2073,13,13
2074,32,32
2075,31,31
2076,34,34
2077,46,46
2078,49,49
2079,124,124
2080,65,65
2081,31,31
2082,67,67
2083,44,44
2084,29,29
2085,32,32
2086,75,75
2087,55,55
2088,44,44
2089,48,48
2090,38,38
2091,70,70
2092,2,2
2093,22,22
2094,33,33
2095,58,58
2096,8,8
2097,155,155
2098,7,7
2099,70,70
2100,25,25
2101,69,69
2102,5,5
2103,28,28
2104,15,15
2105,31,31
2106,34,34
2107,10,10
2108,27,27
2109,20,20
2110,19,19
2111,57,57
2112,33,33
2113,9,9
2114,4,4
2115,29,29
2116,106,106
2117,39,39
2118,4,4
2119,8,8
2120,34,34
2121,23,23
2122,87,87
2123,19,19
2124,16,16
2125,22,22
2126,43,43
2127,11,11
2128,9,9
2129,18,18
2130,5,5
2131,63,63
2132,39,39
2133,0,0
2134,86,86
2135,40,40
2136,67,67
2137,12,12
